39,work_class,education,education_yrs,marital_status,occupation,relationship,ethnicity,gender,capital_gain,capital_lost,hours_week,country,salary
50, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,13, United-States,24006
38, Private, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,44640
53, Private, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States,18011
28, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, Cuba,29747
37, Private, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,19350
49, Private, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,0,16, Jamaica,29399
52, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,137988
31, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,14084,0,50, United-States,59035
42, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,40, United-States,214562
37, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,80, United-States,226348
30, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India,159868
23, Private, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States,34206
32, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male,0,0,50, United-States,47945
40, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, ?,243928
34, Private, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,45, Mexico,19723
25, Self-emp-not-inc, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,35, United-States,39793
32, Private, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States,31968
38, Private, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,35024
43, Self-emp-not-inc, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, United-States,85108
40, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States,296089
54, Private, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,0,0,20, United-States,32801
35, Federal-gov, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States,24277
43, Private, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2042,40, United-States,48567
59, Private, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States,18575
56, Local-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,185130
19, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,28331
54, ?, Some-college,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,0,0,60, South,194724
39, Private, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,80, United-States,45118
49, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,24483
23, Local-gov, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male,0,0,52, United-States,48245
20, Private, Some-college,10, Never-married, Sales, Own-child, Black, Male,0,0,44, United-States,35290
