39,Real,Predicted,Set,residuos
20,40067,31842.448028481558,Train,8224.551971518442
21,32109,25478.439508081836,Train,6630.560491918164
64,36787,69284.63411050593,Train,-32497.634110505925
26,44965,46745.77167544744,Train,-1780.7716754474386
21,45074,73285.11042099945,Train,-28211.110420999452
58,234005,44271.7186417253,Train,189733.2813582747
55,213348,121018.13375187927,Train,92329.86624812073
23,35905,50432.731886885456,Train,-14527.731886885456
62,30193,118095.17538560514,Train,-87902.17538560514
37,206551,119485.9993379786,Train,87065.0006620214
22,30621,30840.758650669093,Train,-219.75865066909319
23,46104,71211.51699119888,Train,-25107.516991198878
25,48417,25180.70394020972,Train,23236.29605979028
58,28684,73908.15888556151,Train,-45224.15888556151
25,18607,48230.85004137897,Train,-29623.850041378973
20,39085,46357.2453576448,Train,-7272.245357644802
66,24111,116713.9990976979,Train,-92602.9990976979
33,165332,88575.26647492062,Train,76756.73352507938
38,242112,79646.19838038654,Train,162465.80161961346
31,42490,69020.02112972568,Train,-26530.021129725676
22,40365,29199.514686058807,Train,11165.485313941193
46,34714,71709.29460227283,Train,-36995.29460227283
46,168249,84613.35425859437,Train,83635.64574140563
39,159399,66309.83374110775,Train,93089.16625889225
29,25079,76813.92642824468,Train,-51734.92642824468
19,25339,51070.009347704356,Train,-25731.009347704356
60,45804,31404.66031507813,Train,14399.33968492187
21,29653,33102.284463609605,Train,-3449.284463609605
25,18049,44024.16430900268,Train,-25975.164309002677
40,43335,96046.41859313619,Train,-52711.418593136186
37,19350,119423.49564744151,Train,-100073.49564744151
41,30984,44995.129450180975,Train,-14011.129450180975
35,247212,100081.58051673158,Train,147130.4194832684
41,21728,81394.44067998751,Train,-59666.440679987514
24,18887,47284.85361143626,Train,-28397.853611436258
48,284575,120880.65882304995,Train,163694.34117695005
39,20101,28771.603453833544,Train,-8670.603453833544
40,193042,77172.80273278017,Train,115869.19726721983
19,21128,35104.76235867282,Train,-13976.762358672822
37,34622,76190.30060773785,Train,-41568.30060773785
19,29541,51070.009347704356,Train,-21529.009347704356
46,38276,122833.75022947081,Train,-84557.75022947081
31,113088,90463.15579242332,Train,22624.84420757668
20,30228,78943.72685694756,Train,-48715.72685694756
20,40599,31198.63087090358,Train,9400.36912909642
23,24565,62302.23128552254,Train,-37737.23128552254
40,49114,82560.98120430857,Train,-33446.98120430857
46,33489,125226.09625353478,Train,-91737.09625353478
52,23791,35627.48500812673,Train,-11836.485008126729
29,271465,34261.578009896104,Train,237203.4219901039
19,43940,24647.674627709537,Train,19292.325372290463
69,41538,34008.21085299267,Train,7529.78914700733
34,45377,119257.2363719205,Train,-73880.2363719205
30,19800,85192.29895438952,Train,-65392.298954389524
34,25276,59372.78046906891,Train,-34096.78046906891
46,65261,123618.42186560418,Train,-58357.42186560418
22,43282,24246.942599617192,Train,19035.057400382808
56,23242,37582.92526038325,Train,-14340.92526038325
59,175144,80414.11098699423,Train,94729.88901300577
73,240967,88396.1896538708,Train,152570.8103461292
30,27637,71600.66896076934,Train,-43963.66896076934
28,21813,31555.326011279096,Train,-9742.326011279096
50,40691,103413.99956722869,Train,-62722.99956722869
19,46917,34727.26710670495,Train,12189.732893295048
24,33556,41583.981526984615,Train,-8027.981526984615
32,32202,103452.12566406353,Train,-71250.12566406353
36,23000,69444.6314695376,Train,-46444.631469537606
29,107737,73873.20413219182,Train,33863.79586780818
51,62521,119721.52760386709,Train,-57200.527603867085
42,46681,26674.89029228506,Train,20006.10970771494
34,19319,98478.45126760707,Train,-79159.45126760707
17,23189,29443.175919042165,Train,-6254.175919042165
45,101543,120559.29730953439,Train,-19016.29730953439
46,48094,87796.42082961732,Train,-39702.42082961732
38,42651,86727.66799686763,Train,-44076.66799686763
72,38229,100081.58051673158,Train,-61852.580516731585
44,28329,101684.70976585611,Train,-73355.70976585611
41,198172,121296.95434584847,Train,76875.04565415153
36,286660,139242.59498849287,Train,147417.40501150713
30,35645,101469.21052719868,Train,-65824.21052719868
44,175500,122299.37381309597,Train,53200.62618690403
36,48349,19683.759138594105,Train,28665.240861405895
37,33058,29990.068990379295,Train,3067.9310096207046
49,30264,23889.227025588443,Train,6374.772974411557
52,33220,99934.89897937451,Train,-66714.89897937451
51,30933,71135.02222430392,Train,-40202.02222430392
47,291136,121394.74203741984,Train,169741.25796258016
50,231968,73062.6795110161,Train,158905.32048898388
56,32447,111523.94687502942,Train,-79076.94687502942
31,35647,36832.1193047308,Train,-1185.119304730797
74,28144,93908.91292763682,Train,-65764.91292763682
25,45642,114593.28702367074,Train,-68951.28702367074
33,25105,133435.6473679442,Train,-108330.64736794421
33,30752,83187.08800339221,Train,-52435.088003392215
26,22121,74159.00163899286,Train,-52038.001638992864
30,180680,99505.46485871618,Train,81174.53514128382
33,21509,37322.53842999805,Train,-15813.53842999805
25,18129,83516.86435981249,Train,-65387.86435981249
28,25932,44024.16430900268,Train,-18092.164309002677
21,33087,24588.39152417193,Train,8498.60847582807
44,27311,126361.89791562766,Train,-99050.89791562766
53,41945,7670.416058358482,Train,34274.58394164152
22,20515,29199.514686058807,Train,-8684.514686058807
36,42427,122537.79370939647,Train,-80110.79370939647
46,49490,74573.3884973065,Train,-25083.3884973065
34,36616,49307.93163717753,Train,-12691.931637177528
21,42401,46093.34437587961,Train,-3692.344375879613
19,42676,35104.76235867282,Train,7571.237641327178
39,40590,91421.44510484114,Train,-50831.44510484114
21,18086,23400.361802365296,Train,-5314.361802365296
48,30734,85843.32942319647,Train,-55109.32942319647
43,45798,50245.72574388313,Train,-4447.725743883129
28,27513,85124.53874774312,Train,-57611.53874774312
41,162790,92302.43062191049,Train,70487.56937808951
32,25197,115472.18714951663,Train,-90275.18714951663
26,62407,83325.83411547582,Train,-20918.834115475824
39,237162,77620.62991773867,Train,159541.37008226133
35,29146,33854.08965709803,Train,-4708.089657098033
27,45665,14519.722891858859,Train,31145.27710814114
26,29104,29133.878289780303,Train,-29.87828978030302
28,32055,73174.236481092,Train,-41119.236481092
25,33707,124224.39225012832,Train,-90517.39225012832
29,45975,25741.1480878039,Train,20233.8519121961
38,30513,104520.87849681321,Train,-74007.87849681321
25,21306,24962.52499714423,Train,-3656.5249971442317
51,253201,99106.86355662721,Train,154094.1364433728
50,19453,86291.07927206418,Train,-66838.07927206418
46,62010,79282.52789017964,Train,-17272.52789017964
53,30527,25767.5086554711,Train,4759.4913445288985
36,39211,81486.17106269632,Train,-42275.17106269632
19,49572,31946.28078615682,Train,17625.71921384318
34,20443,84055.78591499344,Train,-63612.78591499344
51,41480,72291.628699834,Train,-30811.628699833993
35,20049,68537.47978634902,Train,-48488.479786349024
25,40257,83204.46185935734,Train,-42947.46185935734
49,69578,80664.9958761733,Train,-11086.9958761733
22,27335,22701.749350155616,Train,4633.250649844384
35,42698,34403.291136505046,Train,8294.708863494954
39,44644,36711.2780308062,Train,7932.721969193801
19,35377,28133.451055653044,Train,7243.548944346956
35,28904,40980.661153377834,Train,-12076.661153377834
39,38313,72160.45849561662,Train,-33847.45849561662
45,46997,36557.0725395955,Train,10439.927460404499
33,24289,97359.64065481431,Train,-73070.64065481431
57,31331,56152.6146277482,Train,-24821.614627748197
